;Round;Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
0;1;Bahrain;1;12;0;;0;15;6;0;0;8;0;10;;0;25;0;0.0;0;2;18;4;0
1;2;Saudi Arabia;0;8;6;;4;15;12;0;1;0;0;10;;0;19;0;0.0;0;2;25;0;0
2;3;Australia;0;0;0;;0;15;0;2;0;12;8;18;;0;25;6;0.0;4;0;11;0;1
3;4;Azerbaijan;0;10;15;;0;12;5;0;0;6;2;8;;0;18;0;0.0;0;0;25;0;1
4;5;Miami;0;10;6;;2;15;12;0;1;0;0;8;;0;26;0;0.0;0;4;18;0;0
5;6;Monaco;0;4;8;;15;18;10;0;0;0;2;13;;0;25;0;0.0;1;6;0;0;0
6;7;Spain;0;10;0;;4;6;15;2;0;8;0;18;;0;26;0;0.0;0;1;12;0;0
7;8;Canada;6;10;12;;4;18;0;0;0;2;0;15;;0;25;0;0.0;0;0;9;1;0
8;9;Austria;0;8;18;;0;10;6;0;0;2;12;4;;0;26;0;0.0;0;1;15;0;0
9;10;Great Britain;4;1;2;;0;6;10;0;0;0;18;15;;0;26;0;0.0;12;0;8;0;0
10;11;Hungary;0;4;6;0.0;0;2;8;0;0;1;18;12;;0;26;0;;10;0;15;0;0
11;12;Belgium;0;0;15;0.0;4;10;8;0;0;2;6;13;;0;25;0;;0;0;18;0;1
12;13;Netherlands;4;10;0;;1;19;0;0;0;0;6;8;0.0;0;25;0;;2;15;12;0;0
13;14;Italy;6;15;12;;0;2;10;0;0;0;4;8;0.0;0;25;0;;0;0;18;1;0
14;15;Singapore;0;25;12;;0;0;0;0;1;0;18;16;2.0;0;10;0;;6;8;4;0;0
15;16;Japan;0;8;12;;2;4;6;0;0;0;18;10;0.0;0;26;0;;15;1;0;0;0
16;17;Qatar;0;0;10;;6;8;12;2;0;0;15;0;0.0;0;26;0;;18;0;1;4;0
17;18;United States;2;15;0;0.0;0;0;10;0;0;6;18;0;;1;25;0;;0;8;12;0;5
18;19;Mexico;2;12;15;6.0;1;0;8;0;0;0;10;19;;0;25;0;;4;0;0;0;0
19;20;Brazil;0;8;0;0.0;1;15;0;0;0;10;19;4;;0;25;0;;0;6;12;0;2
20;21;Las Vegas;0;8;18;0.0;12;2;4;0;0;10;0;6;;0;25;0;;2;0;15;0;0
21;22;Abu Dhabi;0;0;18;0.0;0;6;15;0;0;1;10;2;;0;26;0;;8;0;12;0;4
